회원번호,카테고리
1432,13
1433,3
1434,0
1435,0
1435,13
1435,17
1435,2
1435,11
1436,0
1437,11
1438,0
1439,13
1439,0
1440,13
1441,5
1442,0
1443,3
1444,0
1444,13
1445,7
1446,3
1447,3
1448,13
1448,11
1448,6
1448,1
1448,10
1449,14
1450,6
1451,0
1452,24
1452,20
1453,0
1454,11
1454,16
1454,1
1454,13
1455,7
1456,6
1456,24
1457,0
1458,17
1458,5
1458,10
1458,21
1458,18
1459,16
1460,24
1460,5
1460,20
1460,19
1460,14
1460,21
1461,11
1461,0
1462,16
1463,0
1464,16
1465,0
1465,14
1465,11
1466,3
1466,21
1467,11
1467,7
1468,0
1468,11
1469,11
1470,11
1471,20
1471,23
1471,19
1472,0
1473,0
1474,14
1475,7
1476,3
1476,10
1477,13
1478,15
1478,13
1479,0
1480,0
1480,10
1480,3
1480,5
1480,14
1480,1
1480,16
1481,11
1482,11
1483,13
1484,7
1484,19
1485,11
1485,13
1485,0
1486,1
1486,4
1487,13
1488,3
1489,0
1490,0
1490,13
1490,7
1491,6
1491,0
1491,13
1491,3
1492,8
1492,9
1493,0
1494,11
1495,13
1495,10
1496,16
1496,3
1496,11
1497,6
1497,7
1498,13
1498,4
1498,0
1498,19
1499,10
1500,1
1500,3
1500,16
1500,7
1501,5
1501,11
1502,5
1502,11
1503,0
1503,10
1504,0
1505,11
1506,11
1507,14
1507,5
1507,17
1507,3
1507,18
1507,11
1508,18
1509,6
1510,13
1510,0
1510,24
1510,19
1511,18
1512,13
1512,5
1512,0
1513,13
1513,6
1514,0
1514,13
1515,3
1516,13
1517,10
1517,5
1517,6
1518,11
1519,13
1519,10
1519,5
1519,7
1520,0
1520,7
1521,13
1521,7
1521,11
1522,5
1522,6
1523,11
1523,1
1524,5
1525,6
1526,0
1527,1
1528,12
1529,13
1530,7
1531,9
1531,8
1531,19
1531,21
1531,18
1532,0
1532,10
1532,5
1532,6
1533,6
1533,11
1533,0
1534,5
1534,3
1535,16
1535,13
1536,21
1536,14
1537,13
1538,6
1539,1
1540,13
1541,19
1541,5
1541,11
1542,16
1543,0
1543,13
1544,19
1545,14
1545,5
1546,11
1546,3
1547,13
1547,4
1547,11
1548,6
1549,18
1550,11
1551,7
1552,18
1552,13
1552,20
1552,2
1552,0
1553,13
1554,13
1555,14
1555,3
1555,5
1556,1
1556,10
1556,13
1557,11
1558,11
1558,6
1559,10
1559,1
1559,0
1560,11
1561,0
1562,9
1562,14
1562,10
1563,9
1563,23
1563,14
1563,16
1563,19
1564,0
1565,0
1566,13
1567,13
1568,1
1569,11
1570,10
1570,6
1571,13
1572,7
1573,5
1574,16
1575,13
1576,13
1577,0
1578,0
1579,10
1579,0
1580,16
1580,7
1580,13
1581,11
1582,5
1583,13
